offer_id,product_id,price,old_price,min_price,currency_code,auto_action_enabled
"NA540/00",6045543439,"1160","1249","1129","USD",false
"EP3347/90",6045610934,"1160","1249","1129","USD",false
"EP2333/40",6045680834,"1160","1249","1129","USD",false
"EP5546/70",6046414656,"1160","1249","1129","USD",false
"EP2330/10",6046481794,"1160","1249","1129","USD",false
"EP5544/50",6046501680,"1160","1249","1129","USD",false
"ECAM22.110.B",6046522020,"1160","1249","1129","USD",false
"ECAM11.112.B",6046546897,"1160","1249","1129","USD",false
"ECAM230.13.B",6046562034,"1160","1249","1129","USD",false
"ECAM292.33.SB",6046638134,"1160","1249","1129","USD",false
"EP2220/10",6046670465,"1160","1249","1129","USD",false
"ECAM292.81.B",6046753078,"1160","1249","1129","USD",false
"ECAM292.52.GB",6046892860,"1160","1249","1129","USD",false
"ECAM292.81.SB",6046962741,"1160","1249","1129","USD",false
"EP3326/90",6047006428,"1160","1249","1129","USD",false
"BC151EUBK",6047082959,"499","549","489","USD",false
"KT201EUSTGD",6047119736,"999","1149","989","USD",false
"KT201EU",6047173982,"699","749","689","USD",false
"KT200EU",6047181364,"999","1149","989","USD",false
"JC151EU",6047628865,"999","1149","989","USD",false
"0644416030",6048807898,"499","549","489","USD",false
"MAFD661B0",6062473958,"1160","1249","1129","USD",false
"Profi 28 cm (0794689991)",6063701742,"499","549","489","USD",false
"11.2000.9002",6063701743,"999","1149","989","USD",false
"1871556030",6063701773,"199","249","189","USD",false
"18.7920.6100",6063701794,"199","249","189","USD",false
"11.2091.6040",6063701826,"699","749","689","USD",false
"Profi 24 cm",6063701827,"499","549","489","USD",false
"0733556040",6064148891,"999","1149","989","USD",false
"18.7670.9990",6064148898,"499","549","489","USD",false
"0761406380",6064148904,"499","549","489","USD",false
"18.7332.9990",6064148905,"199","249","189","USD",false
"06.4689.9990",6064148916,"199","249","189","USD",false
"0617706040",6064148939,"199","249","189","USD",false
"0416950071",6064148943,"199","249","189","USD",false
"12.7291.9991",6064148949,"699","749","689","USD",false
"0733706299",6064148955,"699","749","689","USD",false
"1871016030",6064148956,"55","63","51","USD",false
"0658776040",6064148962,"23","26","21","USD",false
"18.7998.4500",6064148967,"177","204","163","USD",false
"0741426040",6064148999,"499","549","489","USD",false
"0760556380",6064149009,"1160","1249","1129","USD",false
"0580774291",6064153080,"499","549","489","USD",false
"0413020012",6064153109,"499","549","489","USD",false
"WMF Function Bowls Rührschüssel Edelstahl mit Deck",6064170158,"499","549","489","USD",false
"WMF Nuova Salatbesteck Edelstahl 25 cm, klein, Sal",6064172774,"199","249","189","USD",false
"18.7108.6030",6064172779,"199","249","189","USD",false
"WMF Nuova Kuchenheber Tortenheber Edelstahl 23 cm,",6064172786,"199","249","189","USD",false
"Profi Resist 28 cm",6064172860,"699","749","689","USD",false
"QP2824/31",6064334492,"499","549","489","USD",false
"MG9561/30",6064334545,"699","749","689","USD",false
"HS9980/15",6064334555,"699","749","689","USD",false
"MG7962/30",6064334557,"699","749","689","USD",false
"STH3020/10",6064334559,"499","549","489","USD",false
"BRI951/00",6064334565,"499","549","489","USD",false
"HX6068/88",6064334566,"171","197","157","USD",false
"Philips Sonicare DiamondClean Prestige 9900 elektr",6064334583,"645","722","613","USD",false
"QP1924/30",6064334596,"499","549","489","USD",false
"GC026/80",6064334602,"50","57","46","USD",false
"QP6552/30",6064334641,"499","549","489","USD",false
"QP2834/31",6064334647,"499","549","489","USD",false
"Philips Sonicare DiamondClean 9000",6064334685,"670","750","637","USD",false
"HX7101/01",6064334694,"499","549","489","USD",false
"CA6903/22",6064334697,"199","249","189","USD",false
"MG9556/15",6064334708,"699","749","689","USD",false
"BRR454/00",6064334710,"199","249","189","USD",false
"HX9911/89",6064334731,"627","702","596","USD",false
"CA6903/10",6064334748,"199","249","189","USD",false
"QP440/50",6064334755,"176","202","162","USD",false
"QP6652/35",6064334757,"699","749","689","USD",false
"HX3826/33",6064334797,"699","749","689","USD",false
"HD9350/90",6064334802,"499","549","489","USD",false
"AC3210/12",6064334804,"1160","1249","1129","USD",false
"S7887/35",6064334811,"1160","1249","1129","USD",false
"BHD510/20",6064334851,"499","549","489","USD",false
"TT2000/43",6064334859,"136","156","125","USD",false
"BRI955/00",6064334861,"1160","1249","1129","USD",false
"AC0651/10",6064334866,"699","749","689","USD",false
"AC4221/11",6064334869,"1160","1249","1129","USD",false
"HX6064/88",6064334873,"144","166","132","USD",false
"BRI946/00",6064334880,"1160","1249","1129","USD",false
"STH3010/70",6064334884,"499","549","489","USD",false
"QP6652/30",6064334901,"699","749","689","USD",false
"BRI921/00",6064334909,"1160","1249","1129","USD",false
"AWP175/10",6064334923,"199","249","189","USD",false
"HX3675/13",6064334929,"318","366","293","USD",false
"BRI949/00",6064334943,"499","549","489","USD",false
"MG7931/15",6064334962,"499","549","489","USD",false
"NT5650/16",6064334975,"199","249","189","USD",false
"HX9046/87",6064334980,"197","227","181","USD",false
"Philips Water Ersatzfilter für Wasserdispenser mit",6064335018,"199","249","189","USD",false
"XP9204/10",6064335026,"1160","1249","1129","USD",false
"XP9405/31",6064335040,"1160","1249","1129","USD",false
"S3145/00",6064335042,"499","549","489","USD",false
"SCY933/02",6064335045,"199","249","189","USD",false
"HX7110/01",6064335048,"344","396","316","USD",false
"BG7485/30",6064335053,"699","749","689","USD",false
"XP9404/31",6064335076,"1160","1249","1129","USD",false
"HX9046/88",6064335099,"197","227","181","USD",false
"MG1100/16",6064335102,"199","249","189","USD",false
"AC0951/13",6064335104,"1160","1249","1129","USD",false
"QP4631/65",6064335105,"499","549","489","USD",false
"SCD657/11",6064335106,"171","197","157","USD",false
"MG7961/15",6064335107,"699","749","689","USD",false
"AWP1775CH/10",6064335108,"199","249","189","USD",false
"XB9154/09",6064335110,"1160","1249","1129","USD",false
"FC9745/09",6064335112,"1160","1249","1129","USD",false
"HX9914/57",6064335113,"659","738","626","USD",false
"S5465/18",6064335115,"699","749","689","USD",false
"Philips HC5630/15",6064335119,"499","549","489","USD",false
"SH91/50",6064335123,"166","191","153","USD",false
"FC8021/03",6064335128,"199","249","189","USD",false
"HX6034/90",6064335143,"95","109","87","USD",false
"BRI957/00",6064335162,"1160","1249","1129","USD",false
"XP9205/30",6064335166,"1160","1249","1129","USD",false
